Date,Content
25-08-2023,"Near term Inflation woes dragged domestic equity marketsInflation and rate hike news dominated domestic as well as global equity markets this week. News related to potential rate hike by US Fed weighed heavy on investors sentiments. Also, RBI’s FOMC meet minutes indicated a possibility of a rate hike as India’s inflation remained elevated, which further dampened investor sentiments. As a result, the broad-based Nifty 50 index fell by (-) 0.2%. The Small and Mid-Caps outperformed the broader market. The Nifty Midcap 150 Index gained 1.7% and the Nifty Smallcap 250 Index gained 1.9% this week.Sectoral indices were a mixed bag with Nifty IT, Nifty Banks and Nifty Consumer Durables gaining the most i.e., 1.0%, 0.9% and 0.6% respectively. While Nifty Pharma, Nifty Healthcare and Nifty Oil and Gas fell the most losing (-) 1.6%, (-) 1.3% and (-) 1.2% respectively."
01-09-2023,"Strong domestic macros boost sentiments.Domestic Equities ended the week on a positive note as India’s GDP growth grew by 7.8% in the Apr-Jun’23 quarter. Also, the manufacturing PMI rose to 58.6, which further boosted sentiments. The broad-based Nifty 50 Index grew by 0.9% during the week. The mid and small caps outperformed large caps. Nifty Midcap 150 Index and Nifty Small Cap 250 grew by 2.6% and 4.1% respectively.Sectoral indices were a mixed bag with Nifty Realty, Nifty Metal and Nifty Auto gaining the most i.e., 5.8%, 5.1% and 3.7% respectively. Whereas Nifty FMCG, Nifty Pharma and Nifty Healthcare were at the bottom losing (-) 0.5%, (-) 0.1% and (-) 0.1% respectively."
08-09-2023,"Strong domestic macros boost sentiments.Domestic Equities ended the week on a positive note. The broad-based Nifty 50 Index grew by 2.0% during the week. The mid and small caps outperformed large caps. Nifty Midcap 150 Index and Nifty Small Cap 250 grew by 3.6% and 2.9% respectively.Sectoral indices were a mixed bag with Nifty Media, Nifty Realty and Nifty PSU Bank gaining the most i.e., 5.2%, 4.9% and 3.7% respectively. Whereas Nifty FMCG, Nifty Auto and Nifty Private Bank were at the bottom losing 1.0%, 1.1% and 1.5% respectively."
15-09-2023,"Nifty crosses 20k while global markets positive this week!The broad market Nifty 50 Index crossed 20k levels this week amidst strong global cues. However, during the mid-week, Mid and Small caps fell sharply. The Nifty 50 index gained 1.9% while the Nifty Midcap 150 and Nifty Small Cap 250 Index lost (-) 0.8% and (-) 0.5% respectively.Sectoral indices were a mixed bag with Nifty IT, Nifty Bank and Nifty Pharma gained the most i.e., 2.9%, 2.4% and 2.2% respectively. Whereas Nifty Media, Nifty Oil & Gas and Nifty Consumer Durable lost the most i.e. (-) 3.6%, (-) 1.0% and (-) 0.8% respectively."
22-09-2023,"Weakness in Global markets weighed on India Equities.It was a challenging week for domestic indices with most of them ending in the red. Global weakness weighed on investors’ sentiments, dragging domestic markets. Rise in crude oil prices as well as weakness in Indian rupee further dampened sentiments. Most of the Indian domestic indices ended the week in red. Nifty 50 fell by (-) 2.6% while Nifty Midcap 150 Index and Nifty Small Cap 250 Index fell by (-) 1.6% and (-) 2.1% respectively.Sectoral indices mostly ended in red and only Nifty PSU Bank was positive gaining 3.3%. Nifty FMCG and Nifty Consumer Durables were slightly negative, losing (-) 0.6% and (-) 0.9% respectively. Whereas Nifty Realty, Nifty Metal and Nifty Financial Services were at the bottom losing (-) 4.3%, (-) 3.9% and (-) 3.9% respectively."
29-09-2023,"Global macros weighed on domestic Large Caps. Mid and Small caps Resilient.The broad-based Nifty 50 ended the week on a negative note and fell by 0.2 %. The mid and small caps outperformed large caps. Nifty Midcap 150 Index and Nifty Small Cap 250 grew by 1.2% and 1.6% respectively.Sectoral indices were a mixed bag this week with Nifty Healthcare, Nifty Realty and Nifty Pharma gaining the most i.e., 2.8%, 2.6% and 2.3% respectively. However, out of the sectors which closed in red, Nifty IT, Nifty Media and Nifty Consumer Durables were at the bottom losing (-) 3.4%, (-) 0.9% and (-) 0.5% respectively.Most Global indices closed in the red this week. It was a difficult week for US indices with S&P 500 (US) Index^, Dow Jones^ and Nasdaq^ losing (-) 1.0%, (-) 1.2% and (-) 0.6% respectively. FTSE^ ended the week on a negative note, after the central bank rose interests further to control the raising inflation, losing (-) 0.2 %. Asian Indices were a mixed bag with Nikkei, Kospi and Hang Seng losing (-) 2.0%, (-) 3.0%, and (-) 1.3% respectively. Only Shanghai composite ended the week in green gaining 0.9%."
06-10-2023,"Global macros closed in red. large and small caps Resilient.This week, RBI in its October monetary policy meeting unanimously kept the repo rate unchanged at 6.5%. The broad-based Nifty 50 and Nifty small cap 250 ended the week on a positive note gaining 0.1% and 0.7% respectively. The midcaps, however, underperformed this week losing (-) 0.5%.Sectoral indices were a mixed bag this week with Nifty Realty, Nifty IT and Nifty Consumer Durables gaining the most i.e., 1.9%, 1.7% and 1.3% respectively. However, out of the sectors which closed in the red, Nifty Healthcare Index, Nifty Pharma and Nifty Metals were at the bottom losing (-) 1.9%, (-) 1.9% and (-) 1.5% respectively."
13-10-2023,"Global macros closed in green. Domestic markets Resilient.This was a positive week for domestic markets, owing to the positive CPI numbers released by MoSPI, with the majority of indices closing in green. While each of the Nifty 50, Nifty Midcap 150 and Nifty Small cap 250 ended on a positive note gaining 0.5%, 0.5% and 0.7% respectively, Nifty Small cap 250 outperformed the other two slightly.Sectoral indices were a mixed bag this week with Nifty Realty, Nifty Auto and Nifty FMCG gaining the most i.e., 4.3%, 2.8% and 1.8% respectively. However, out of the sectors which closed in the red, Nifty PSU Bank, Nifty IT and Nifty Consumer Durables were at the bottom losing (-) 3.2%, (-) 1.7% and (-) 0.6% respectively."
20-10-2023,"Global macros closed in red. Domestic markets had a tough week.This was a tough week for domestic markets, with significant selling pressure owing to growing concerns about an escalation of the Israel Hamas conflict, with the majority of indices closing in red. While each of the Nifty 50 and Nifty Midcap 150 ended on a negative note losing (-) 1.1% and (-) 1.2% respectively, Nifty small cap 250 managed to be stagnant with a movement of 0% during the week.The week was also difficult for sectoral indices with most of them closing in red. Only Nifty Auto managed to close in green gaining 0.3% during the week. However, out of the sectors which closed in the red, Nifty Realty, Nifty PSU Bank and Nifty Oil and gas were at the bottom losing (-) 2.3%, (-) 1.9% and (-) 1.8% respectively."
27-10-2023,"Global macros show mixed bag performance. Domestic markets close in the red.This was a tough week for domestic markets with majority of indices closing in red, owing to the Israel-Hamas war, strong US dollar, FIIs' selling, Q2 results 2023 coming below estimates and rising inflation concerns. Each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 ended on a negative note losing (-) 2.4%, (-) 2.8% and (-) 2.9% respectively.The week was also difficult for sectoral indices with all of them closing in the red. However, of all the sectors, Nifty Media, Nifty Metal and Nifty IT were at the bottom losing (-) 5.0%, (-) 3.7% and (-) 2.8% respectively."
03-11-2023,"Global macros positive. Domestic markets resilient. Tracking positive global cues, most Indian indices closed on a positive note this week with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250, gaining 1.0%, 2.1% and 1.9% respectively. This was also a positive week for most of the sectoral indices. Of all the sectors, Nifty Realty, Nifty Media and Nifty Oil and Gas occupied the top position, gaining 10.4%, 4.0% and 3.0% respectively. Only Nifty Auto ended the week in red losing (-) 0.8%, hence settling at the bottom position. "
10-11-2023,"Global macros a mixed bag. Domestic markets resilient. Most of the broad market indices closed on a positive note this week, with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 1.0%, 2.6% and 2.4% respectively.Sectoral indices displayed mixed performance this week. Out of the indices which closed in green, Nifty Pharma, Nifty Healthcare Index and Nifty Realty occupied the top position, gaining 4.3%, 4.0% and 2.9% respectively. A few indices closed in red out of which Nifty Media, Nifty Consumer Durables and Nifty PSU Banks were the top losers each losing (-) 1.5%, (-) 0.8% and (-) 0.6% respectively. "
17-11-2023,"Global macros positive. Domestic markets resilient. Most of the broad market indices closed on a positive note this week, with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 1.6%, 2.5% and 3.4% respectively.Sectoral indices displayed mixed performance this week with most of them displaying positive performance. Out of the indices which closed in green, Nifty IT, Nifty Realty and Nifty Auto occupied the top position, gaining 5.1%, 4.6% and 3.8% respectively. Only Nifty Private Bank, Nifty Bank and Nifty Financial Services closed in red losing (-) 0.5%, (-) 0.5% and (-) 0.1% respectively."
24-11-2023,"Markets end the week on a flat note. Most of the broad market indices closed flat this week, with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 0.3%, 0.6% and 0.1% respectively. Indices failed to find pace amidst mixed global cues. Sectoral indices displayed mixed performance this week with most of them displaying positive performance. Out of the indices which closed in green, Nifty Realty, Nifty Oil & Gas, and Nifty Metal occupied the top position, gaining 1.5%, 1.0% and 1.0% respectively. Only Nifty PSU Bank, Nifty FMCG and Nifty IT closed in red losing (-) 1.7%, (-) 0.3% and (-) 0.4% respectively. "
01-12-2023,"Global macros a mixed bag. Domestic markets resilient.Most Indian indices closed on a positive note this week with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 2.4%, 2.8% and 2.6% respectively. Nifty 50 hit a record high this week owing to faster than expected economic growth.This was also a positive week for all sectoral indices. While each of the sectoral indices closed in green, Nifty Oil and Gas, Nifty Financial Services and Nifty Media occupied the top position, gaining 4.4%, 3.6% and 3.2% respectively."
08-12-2023,"Global macros a mixed bag. Domestic markets resilient.Owing to today’s policy decision of keeping rates unchanged, strong macro data, global market trend support and continual foreign investor inflows, Nifty index soared to historic highs today, touching the 21000 mark. Continuing the growth trend of the past few weeks, most Indian indices closed on a positive note this week with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 3.5%, 2.2% and 1.2% respectively.This week was a mixed bag for sectoral indices. While most of the sectoral indices closed in green, Nifty PSU Bank, Nifty Oil and Gas and Nifty Bank occupied the top position, gaining 6.8%, 6.2% and 5.5% respectively. Nifty FMCG, Nifty Healthcare Index and Nifty Pharma however lost (-) 0.3%, (-) 0.3% and (-) 0.5% respectively."
15-12-2023,"Most global macros positive. Domestic markets a mixed bag.Following positive global market cues, with U.S Federal Reserve’s indication of nearing an end to its monetary tightening cycle, most Indian indices closed on a positive note this week with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 2.3%, 2.4% and 2.6% respectively.This was a positive week for most of the sectoral indices. Out of the sectoral indices closing in green, Nifty IT, Nifty PSU Bank and Nifty Metal occupied the top position, gaining 7.2%, 5.2% and 5.1% respectively. Only Nifty Consumer Durables closed in red this week losing (-) 0.3%. Nifty Healthcare Index ended up static as compared to the last week."
22-12-2023,"Global macros a mixed bag. Domestic markets weakThis was a tough week for the Indian equity markets with consecutive weeks of gains in the Nifty 50 and Sensex coming to a halt. Each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closed in the red, losing (-) 0.6%, (-) 1.0% and (-) 0.3% respectively. Though the reason for this sudden fall is not clear yet, rising Covid-19 cases, high profit booking, Red Sea geopolitical tensions, huge number of IPO releases and formation of a small cap bubble over the past few months have been assessed as the probable catalyst for this fall.This was a week of mixed performance for the sectoral indices. Out of the sectoral indices closing in the green; Nifty FMCG, Nifty Consumer Durables and Nifty Oil and Gas were the top performers, gaining 1.6%, 1.4% and 1.4% respectively. Nifty PSU Banks, Nifty Financial Services 25/50 and Nifty Media, on the other hand, closed in the red losing (-) 3.0%, (-) 2.1% and (-) 2,0% respectively."
29-12-2023,"Global macros positive. Domestic markets resilientFollowing positive global cues, the last trading week of the year 2023 ended on a positive note for most of the Indian indices. Each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closed in the green, gaining 1.8%, 2.3% and 1.8% respectively.This was a week of mixed performance for the sectoral indices. Out of the sectoral indices closing in the green; Nifty Auto, Nifty Metal and Nifty FMCG were the top performers, gaining 4.7%, 4.3% and 3.4% respectively. Only Nifty IT and Nifty Media closed in the red losing (-) 0.3% and (-) 0.1% respectively."
05-01-2024,"Global macros negative. Domestic markets a mixed bagFollowing burdened global cues, the first trading week of the year 2024 ended on a mixed note for the Indian indices. The broad-based Nifty 50 index ended the week in red losing (-) 0.1%. Nifty Midcap 150 and Nifty Small cap 250 on the other hand closed in the green, gaining 2.5% and 2.4% respectively. This was a week of mixed performance for the sectoral indices. Out of the sectoral indices closing in the green; Nifty Realty, Nifty Media and Nifty Pharma were the top performers, gaining 7.8%, 3.3% and 3.1% respectively. On the other hand, Nifty IT, Nifty Metal and Nifty Auto were the top losers, losing (-)1.9%, (-) 1.3% and (-) 1.1% respectively. "
12-01-2024,"Global macros and Domestic markets a mixed bagFollowing volatile global cues, this trading week ended on a mixed note for the Indian indices. The broad-based Nifty 50 index, Nifty Midcap 150 and Nifty Smallcap 250 each ended in green, gaining 0.8%, 0.4% and 1.2% respectively.This was a week of mixed performance for the sectoral indices. Out of the sectoral indices closing in the green; Nifty IT, Nifty Realty and Nifty Oil and Gas were the top performers, gaining 4.8%, 4.3% and 2.6% respectively. On the other hand, Nifty FMCG, Nifty Financial Services and Nifty Bank were the top losers, losing (-) 2.0%, (-) 1.0% and (-) 0.9% respectively."
19-01-2024,"Global macros and Domestic markets a mixed bagThis trading week ended on a mixed note for the Indian indices. The Nifty 50 saw its biggest one-day fall in 19 months, losing (-) 2.1% on Wednesday 17th Jan 2023. Over the week Nifty 50 lost (-) 1.2%, on account of dimming hopes of a Fed rate cuts coupled with disappointing Q3 result of HDFC Bank and high 10 Year G-sec yield dimmed investor sentiment. On the other hand, Nifty Midcap 150 gained 0.6% while Nifty Smallcap 250 lost (-) 0.1%.There was mixed performance for the sectoral indices as well. Nifty Oil and Gas, Nifty IT and Nifty PSU Bank were the top performers, gaining 3.4%, 1.5% and 1.3% respectively. On the other hand, Nifty Private Bank, Nifty Bank and Nifty Financial Services were the top losers, losing (-) 4.5%, (-) 4.1% and (-) 4.0% respectively."
26-01-2024,"Global macros negative. Domestic markets a mixed bag With high volatility in the Indian economy owing to the ongoing struggle between FIIs and DIIs, this trading week ended on a mixed note for the Indian indices. The Nifty 50 closed and Nifty Midcap 150 Index closed flat with (-) 0.5% and 0%, during the week. Nifty Smallcap 250 on the other hand closed on a positive note, gaining 1.0%.This was a volatile week for the sectoral indices as well. Out of the sectoral indices closing in the green; Nifty Healthcare Index, Nifty Metal and Nifty Pharma were the top performers, gaining 1.6%, 1.2% and 1.2% respectively. On the other hand, Nifty Media, Nifty Realty and Nifty Private Bank were the top losers, losing (-) 10.8%, (-) 4.5% and (-) 2.3% respectively."
02-02-2024,"Global macros a mixed bag. Domestic markets mostly positive.Following the interim Budget, this trading week ended mostly on a positive note for the Indian indices. Each of the Nifty 50, Nifty Midcap 150 Index and Nifty Smallcap 250 index ended the week in green, gaining 2.3%, 2.6% and 4.3% respectively. The positive outlook portrays the optimistic market sentiments post the budget presentation.This was a mixed week for the sectoral indices as well. Nifty PSU bank, Nifty Oil and Gas and Nifty Metal were the top performers, gaining 11.5%, 9.1% and 4.6% respectively. On the other hand, only Nifty Media and Nifty FMCG had a flat fall (-) 0.3% and (-) 0.2% respectively."
09-02-2024,"Domestic markets remain choppy as US markets soar.Overall, a choppy week for domestic markets as rate cuts, inflation and valuations weighed on Investor sentiments. RBI maintained status quo on key interest rates. This week, the broad market Index Nifty 50, was flat with marginal fall of (-) 0.3%. While Nifty Midcap 150 and Nifty Small Cap 250 registered marginal gains of 0.7% and 0.2% respectively.Domestic sectoral indices struggled for direction and ended the week with mixed performance. Nifty PSU bank, Nifty Healthcare and Nifty Oil and Gas were the top performers, gaining 5.1%, 4.4% and 3.9% respectively. While Nifty Private Banks, Nifty FMCG and Nifty Consumer Durables lost the most by falling (-) 2.3%, (-) 2.3% and (-) 1.3% respectively."
23-02-2024,"Domestic markets remain choppy as US markets soar.Domestic as well as international markets closed the week in green. IT / tech stocks led the rally globally. Domestic broad market Index – Nifty 50 created history by reaching new highs, touching the 22,297.50 mark on Thursday, 22nd February 2024. Meanwhile the same day Japanese Nikkei also reached a 34 year high. Positive global sentiments fueled this rally. The week ended with Nifty 50 gaining about 0.8% and the Nifty Midcap 150 Index and the Nifty Small cap 250 Index, were flat recording marginal gains or 0.4% and 0.5%, respectively.Nifty Realty was the best performer, gaining, 4.1%, followed by Nifty Consumer Durables and Nifty FMCG gaining 2.0% and 1.5% respectively. Whereas Nifty IT, Nifty PSU Banks and Nifty Oil & Gas were at the bottom losing (-) 1.1%, (-) 0.8% and (-) 0.8% respectively."
01-03-2024,"Domestic markets reach record highs on account of better-than-expected GDP growth numbersThis week was a week of new records after Indian as well as Global indices soared to new highs. Domestic Indices reached record highs on account of better-than-expected GPD numbers. India’s GDP for Dec-23 quarter grew at 8.4% aided by strong manufacturing and construction activities. Nifty 50 started strong this week and ended with a gain 0.6% after experiencing a mid-week volatility. While Nifty Midcap 150 and Nifty Small Cap 250 were marginally down by (-) 1.0% and (-) 0.7 % respectively.Domestic sectoral indices were a mixed bag of performance this week. Nifty Metal, Nifty Consumer Durables and Nifty Auto were the top performers, gaining 2.0%, 1.6% and 1.2% respectively. While Nifty Media, Nifty Healthcare and Nifty IT were at the bottom losing (-) 6.7%, (-) 3.1% and (-) 1.4% respectively."
07-03-2024,"Domestic markets reach record highs.Another choppy week for the domestic markets. Nifty and Sensex reached record highs during the day to settle flat, by the day’s end. This week, the broad market Index Nifty 50, gained 2.3%, outperforming the Mid and Small cap indic[es as the Nifty Midcap 150 registered a gain of 0.9% whereas Nifty Small Cap 250 fell by (-) 1.1%.Most of the sectoral indices were positive this week. Nifty PSU bank, Nifty Metals and Nifty Auto were the top performers, gaining 5.9%, 5.7% and 3.5% respectively. While Nifty Media, Nifty IT lost the most by falling (-) 3.0%, (-) 1.6% respectively."
15-03-2024,"Domestic markets fall amidst valuation concernsThe domestic equity markets experienced profit booking and caution selling amid concerns over high valuations and froth in some segments of the market. The weak global cues and hotter than expected inflation numbers from US, further hurt sentiments. As a result, the Nifty 50 benchmark index closed (-) 2.1% down. The Nifty Midcap 150 index and Nifty Small cap 250 index registered losses of (-) 4.1% and (-) 5.9% respectively.Barring Nifty IT, all other sectoral indices closed in red, this week. Nifty IT gained 1.1% while Nifty FMCG and Nifty Financial Services fell the least registering a fall of (-) 0.5% and (-) 1.7% respectively. The sectoral indices which fell the most were Nifty Realty, Nifty PSU Banks and Nifty Media losing (-) 9.4%, (-) 7.9% and (-) 8.3% respectively."
22-03-2024,"Positive Global sentiments drive marketsThe domestic equity markets witnessed gains today, driven by positive global cues fueled by US Fed’s decision to hold rates and maintain its stance for 3 potential rate cuts this year. Also, the US housing, manufacturing and labor data showed resilience in the economy, boasting sentiments further. As a result, the Nifty 50 benchmark index which was trading in red earlier, recovered and ended the week flat 0.3% gains. Whereas the Nifty Midcap 150 index and Nifty Small cap 250 index gained 1.4% and 1.7% respectively.Most of the sectoral indices closed in green this week. Nifty Realty, Nifty Auto and Nifty Metals were at the top gaining, 5.3%, 4.2% and 4.21% respectively. While Nifty IT and Nifty FMCG lost the most and fell by (-) 6.2% and (-) 0.7% respectively."
28-03-2024,"Equity markets end the last week of the financial year in greenDomestic equity markets ended the last week of the financial year with decent gains on account of strong domestic flows. Nifty 50 index gained 1.4%. The Nifty Midcap 150 Index and the Nifty Small cap 250 Index outperformed the large cap Index Nifty 50 by gaining 2.1% and 2.0% respectively.Most of the sectoral indices were positive this week. Nifty Realty, Nifty Auto and Nifty Healthcare Index were high performers gaining 4.8%, 3.5% and 3.0% respectively. While Nifty Private Banks, Nifty Media and Nifty IT were at the bottom. Nifty Private Banks was tad positive and showed gains of 0.9%. Whereas Nifty Media and Nifty IT lost (-) 1.7% and (-) 3.1% respectively"
05-04-2024,"Nifty ends the week flat post RBI’s policyIndian equity markets were subdued this week. The Nifty 50 index was flat post the RBI policy of maintaining status quo on interest rates for the 7th consecutive time. The large cap, Nifty 50 index registered slight gains of 0.8% underperforming Nifty Midcap 150 Index and the Nifty Small cap 250 Index which registered significant gains of 4.0% and 6.4% respectively.Most of the sectoral indices were positive this week. Nifty Media, Nifty Metal and Nifty PSU Bank Index were high performers gaining 6.7%, 5.4% and 4.3% respectively. While Nifty Oil and Gas, Nifty Healthcare and Nifty FMCG were at the bottom. Nifty Private Oil and Gas and Nifty Healthcare were tad positive and showed gains of 0.55% and 0.6% respectively. Whereas Nifty FMCG registered minor loss of (-) 0.04%."
12-04-2024,"Indian equity markets close in red on account of global worriesIndian stock markets end the week in red after a stellar performance on Wednesday. The fade out in markets happened due weak global cues. The hotter than expected inflation numbers dampened the hopes of US rate cuts. This meant that US bond yields would stay higher for longer, impacting foreign inflows. Higher commodity prices and geo-political tensions further hampered sentiments. Nifty 50 was flat with marginal gains of 0.03% underperforming Nifty Midcap 150 Index and the Nifty Small cap 250 Index which also registered slight gains of 0.3% and 0.5% respectively.Sectoral indices were a mixed bag. Nifty Metal, Nifty Realty and Nifty Oil and Gas were high performers gaining 2.9%, 1.6% and 1.3% respectively. While Nifty Oil and Gas, Nifty Healthcare and Nifty FMCG were at the bottom. Nifty Pharma, Nifty PSU Banks and Nifty Media were at the bottom with (-) 1.9%, (-) 1.5% and (-) 1.5% respectively."
