Date,Content,Content_cleaned
20-08-2023,"Near term Inflation woes dragged domestic equity marketsInflation and rate hike news dominated domestic as well as global equity markets this week. News related to potential rate hike by US Fed weighed heavy on investors sentiments. Also, RBI’s FOMC meet minutes indicated a possibility of a rate hike as India’s inflation remained elevated, which further dampened investor sentiments. As a result, the broad-based Nifty 50 index fell by (-) 0.2%. The Small and Mid-Caps outperformed the broader market. The Nifty Midcap 150 Index gained 1.7% and the Nifty Smallcap 250 Index gained 1.9% this week.Sectoral indices were a mixed bag with Nifty IT, Nifty Banks and Nifty Consumer Durables gaining the most i.e., 1.0%, 0.9% and 0.6% respectively. While Nifty Pharma, Nifty Healthcare and Nifty Oil and Gas fell the most losing (-) 1.6%, (-) 1.3% and (-) 1.2% respectively.",near term inflation woe dragged domestic equity marketsinflation rate hike news dominated domestic well global equity market week. news related potential rate hike u fed weighed heavy investor sentiments. also rbi fomc meet minute indicated possibility rate hike india inflation remained elevated dampened investor sentiments. result broadbased nifty 50 index fell 0.2%. small midcaps outperformed broader market. nifty midcap 150 index gained 1.7% nifty smallcap 250 index gained 1.9% week.sectoral index mixed bag nifty nifty bank nifty consumer durables gaining i.e. 1.0% 0.9% 0.6% respectively. nifty pharma nifty healthcare nifty oil gas fell losing 1.6% 1.3% 1.2% respectively.
27-08-2023,"Strong domestic macros boost sentiments.Domestic Equities ended the week on a positive note as India’s GDP growth grew by 7.8% in the Apr-Jun’23 quarter. Also, the manufacturing PMI rose to 58.6, which further boosted sentiments. The broad-based Nifty 50 Index grew by 0.9% during the week. The mid and small caps outperformed large caps. Nifty Midcap 150 Index and Nifty Small Cap 250 grew by 2.6% and 4.1% respectively.Sectoral indices were a mixed bag with Nifty Realty, Nifty Metal and Nifty Auto gaining the most i.e., 5.8%, 5.1% and 3.7% respectively. Whereas Nifty FMCG, Nifty Pharma and Nifty Healthcare were at the bottom losing (-) 0.5%, (-) 0.1% and (-) 0.1% respectively.",strong domestic macro boost sentiments.domestic equity ended week positive note india gdp growth grew 7.8% aprjun23 quarter. also manufacturing pmi rose 58.6 boosted sentiments. broadbased nifty 50 index grew 0.9% week. mid small cap outperformed large caps. nifty midcap 150 index nifty small cap 250 grew 2.6% 4.1% respectively.sectoral index mixed bag nifty realty nifty metal nifty auto gaining i.e. 5.8% 5.1% 3.7% respectively. whereas nifty fmcg nifty pharma nifty healthcare bottom losing 0.5% 0.1% 0.1% respectively.
03-09-2023,"Strong domestic macros boost sentiments.Domestic Equities ended the week on a positive note. The broad-based Nifty 50 Index grew by 2.0% during the week. The mid and small caps outperformed large caps. Nifty Midcap 150 Index and Nifty Small Cap 250 grew by 3.6% and 2.9% respectively.Sectoral indices were a mixed bag with Nifty Media, Nifty Realty and Nifty PSU Bank gaining the most i.e., 5.2%, 4.9% and 3.7% respectively. Whereas Nifty FMCG, Nifty Auto and Nifty Private Bank were at the bottom losing 1.0%, 1.1% and 1.5% respectively.",strong domestic macro boost sentiments.domestic equity ended week positive note. broadbased nifty 50 index grew 2.0% week. mid small cap outperformed large caps. nifty midcap 150 index nifty small cap 250 grew 3.6% 2.9% respectively.sectoral index mixed bag nifty medium nifty realty nifty psu bank gaining i.e. 5.2% 4.9% 3.7% respectively. whereas nifty fmcg nifty auto nifty private bank bottom losing 1.0% 1.1% 1.5% respectively.
10-09-2023,"Nifty crosses 20k while global markets positive this week!The broad market Nifty 50 Index crossed 20k levels this week amidst strong global cues. However, during the mid-week, Mid and Small caps fell sharply. The Nifty 50 index gained 1.9% while the Nifty Midcap 150 and Nifty Small Cap 250 Index lost (-) 0.8% and (-) 0.5% respectively.Sectoral indices were a mixed bag with Nifty IT, Nifty Bank and Nifty Pharma gained the most i.e., 2.9%, 2.4% and 2.2% respectively. Whereas Nifty Media, Nifty Oil & Gas and Nifty Consumer Durable lost the most i.e. (-) 3.6%, (-) 1.0% and (-) 0.8% respectively.",nifty cross 20k global market positive weekthe broad market nifty 50 index crossed 20k level week amidst strong global cues. however midweek mid small cap fell sharply. nifty 50 index gained 1.9% nifty midcap 150 nifty small cap 250 index lost 0.8% 0.5% respectively.sectoral index mixed bag nifty nifty bank nifty pharma gained i.e. 2.9% 2.4% 2.2% respectively. whereas nifty medium nifty oil gas nifty consumer durable lost i.e. 3.6% 1.0% 0.8% respectively.
17-09-2023,"Weakness in Global markets weighed on India Equities.It was a challenging week for domestic indices with most of them ending in the red. Global weakness weighed on investors’ sentiments, dragging domestic markets. Rise in crude oil prices as well as weakness in Indian rupee further dampened sentiments. Most of the Indian domestic indices ended the week in red. Nifty 50 fell by (-) 2.6% while Nifty Midcap 150 Index and Nifty Small Cap 250 Index fell by (-) 1.6% and (-) 2.1% respectively.Sectoral indices mostly ended in red and only Nifty PSU Bank was positive gaining 3.3%. Nifty FMCG and Nifty Consumer Durables were slightly negative, losing (-) 0.6% and (-) 0.9% respectively. Whereas Nifty Realty, Nifty Metal and Nifty Financial Services were at the bottom losing (-) 4.3%, (-) 3.9% and (-) 3.9% respectively.",weakness global market weighed india equities.it challenging week domestic index ending red. global weakness weighed investor sentiment dragging domestic markets. rise crude oil price well weakness indian rupee dampened sentiments. indian domestic index ended week red. nifty 50 fell 2.6% nifty midcap 150 index nifty small cap 250 index fell 1.6% 2.1% respectively.sectoral index mostly ended red nifty psu bank positive gaining 3.3%. nifty fmcg nifty consumer durables slightly negative losing 0.6% 0.9% respectively. whereas nifty realty nifty metal nifty financial service bottom losing 4.3% 3.9% 3.9% respectively.
24-09-2023,"Global macros weighed on domestic Large Caps. Mid and Small caps Resilient.The broad-based Nifty 50 ended the week on a negative note and fell by 0.2 %. The mid and small caps outperformed large caps. Nifty Midcap 150 Index and Nifty Small Cap 250 grew by 1.2% and 1.6% respectively.Sectoral indices were a mixed bag this week with Nifty Healthcare, Nifty Realty and Nifty Pharma gaining the most i.e., 2.8%, 2.6% and 2.3% respectively. However, out of the sectors which closed in red, Nifty IT, Nifty Media and Nifty Consumer Durables were at the bottom losing (-) 3.4%, (-) 0.9% and (-) 0.5% respectively.Most Global indices closed in the red this week. It was a difficult week for US indices with S&P 500 (US) Index^, Dow Jones^ and Nasdaq^ losing (-) 1.0%, (-) 1.2% and (-) 0.6% respectively. FTSE^ ended the week on a negative note, after the central bank rose interests further to control the raising inflation, losing (-) 0.2 %. Asian Indices were a mixed bag with Nikkei, Kospi and Hang Seng losing (-) 2.0%, (-) 3.0%, and (-) 1.3% respectively. Only Shanghai composite ended the week in green gaining 0.9%.",global macro weighed domestic large caps. mid small cap resilient.the broadbased nifty 50 ended week negative note fell 0.2 %. mid small cap outperformed large caps. nifty midcap 150 index nifty small cap 250 grew 1.2% 1.6% respectively.sectoral index mixed bag week nifty healthcare nifty realty nifty pharma gaining i.e. 2.8% 2.6% 2.3% respectively. however sector closed red nifty nifty medium nifty consumer durables bottom losing 3.4% 0.9% 0.5% respectively.most global index closed red week. difficult week u index sp 500 u index dow jones nasdaq losing 1.0% 1.2% 0.6% respectively. ftse ended week negative note central bank rose interest control raising inflation losing 0.2 %. asian index mixed bag nikkei kospi hang seng losing 2.0% 3.0% 1.3% respectively. shanghai composite ended week green gaining 0.9%.
01-10-2023,"Global macros closed in red. large and small caps Resilient.This week, RBI in its October monetary policy meeting unanimously kept the repo rate unchanged at 6.5%. The broad-based Nifty 50 and Nifty small cap 250 ended the week on a positive note gaining 0.1% and 0.7% respectively. The midcaps, however, underperformed this week losing (-) 0.5%.Sectoral indices were a mixed bag this week with Nifty Realty, Nifty IT and Nifty Consumer Durables gaining the most i.e., 1.9%, 1.7% and 1.3% respectively. However, out of the sectors which closed in the red, Nifty Healthcare Index, Nifty Pharma and Nifty Metals were at the bottom losing (-) 1.9%, (-) 1.9% and (-) 1.5% respectively.",global macro closed red. large small cap resilient.this week rbi october monetary policy meeting unanimously kept repo rate unchanged 6.5%. broadbased nifty 50 nifty small cap 250 ended week positive note gaining 0.1% 0.7% respectively. midcaps however underperformed week losing 0.5%.sectoral index mixed bag week nifty realty nifty nifty consumer durables gaining i.e. 1.9% 1.7% 1.3% respectively. however sector closed red nifty healthcare index nifty pharma nifty metal bottom losing 1.9% 1.9% 1.5% respectively.
08-10-2023,"Global macros closed in green. Domestic markets Resilient.This was a positive week for domestic markets, owing to the positive CPI numbers released by MoSPI, with the majority of indices closing in green. While each of the Nifty 50, Nifty Midcap 150 and Nifty Small cap 250 ended on a positive note gaining 0.5%, 0.5% and 0.7% respectively, Nifty Small cap 250 outperformed the other two slightly.Sectoral indices were a mixed bag this week with Nifty Realty, Nifty Auto and Nifty FMCG gaining the most i.e., 4.3%, 2.8% and 1.8% respectively. However, out of the sectors which closed in the red, Nifty PSU Bank, Nifty IT and Nifty Consumer Durables were at the bottom losing (-) 3.2%, (-) 1.7% and (-) 0.6% respectively.",global macro closed green. domestic market resilient.this positive week domestic market owing positive cpi number released mospi majority index closing green. nifty 50 nifty midcap 150 nifty small cap 250 ended positive note gaining 0.5% 0.5% 0.7% respectively nifty small cap 250 outperformed two slightly.sectoral index mixed bag week nifty realty nifty auto nifty fmcg gaining i.e. 4.3% 2.8% 1.8% respectively. however sector closed red nifty psu bank nifty nifty consumer durables bottom losing 3.2% 1.7% 0.6% respectively.
15-10-2023,"Global macros closed in red. Domestic markets had a tough week.This was a tough week for domestic markets, with significant selling pressure owing to growing concerns about an escalation of the Israel Hamas conflict, with the majority of indices closing in red. While each of the Nifty 50 and Nifty Midcap 150 ended on a negative note losing (-) 1.1% and (-) 1.2% respectively, Nifty small cap 250 managed to be stagnant with a movement of 0% during the week.The week was also difficult for sectoral indices with most of them closing in red. Only Nifty Auto managed to close in green gaining 0.3% during the week. However, out of the sectors which closed in the red, Nifty Realty, Nifty PSU Bank and Nifty Oil and gas were at the bottom losing (-) 2.3%, (-) 1.9% and (-) 1.8% respectively.",global macro closed red. domestic market tough week.this tough week domestic market significant selling pressure owing growing concern escalation israel hamas conflict majority index closing red. nifty 50 nifty midcap 150 ended negative note losing 1.1% 1.2% respectively nifty small cap 250 managed stagnant movement 0% week.the week also difficult sectoral index closing red. nifty auto managed close green gaining 0.3% week. however sector closed red nifty realty nifty psu bank nifty oil gas bottom losing 2.3% 1.9% 1.8% respectively.
22-10-2023,"Global macros show mixed bag performance. Domestic markets close in the red.This was a tough week for domestic markets with majority of indices closing in red, owing to the Israel-Hamas war, strong US dollar, FIIs' selling, Q2 results 2023 coming below estimates and rising inflation concerns. Each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 ended on a negative note losing (-) 2.4%, (-) 2.8% and (-) 2.9% respectively.The week was also difficult for sectoral indices with all of them closing in the red. However, of all the sectors, Nifty Media, Nifty Metal and Nifty IT were at the bottom losing (-) 5.0%, (-) 3.7% and (-) 2.8% respectively.",global macro show mixed bag performance. domestic market close red.this tough week domestic market majority index closing red owing israelhamas war strong u dollar fiis selling q2 result 2023 coming estimate rising inflation concerns. nifty 50 nifty midcap 150 nifty small cap 250 ended negative note losing 2.4% 2.8% 2.9% respectively.the week also difficult sectoral index closing red. however sector nifty medium nifty metal nifty bottom losing 5.0% 3.7% 2.8% respectively.
29-10-2023,"Global macros positive. Domestic markets resilient. Tracking positive global cues, most Indian indices closed on a positive note this week with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250, gaining 1.0%, 2.1% and 1.9% respectively. This was also a positive week for most of the sectoral indices. Of all the sectors, Nifty Realty, Nifty Media and Nifty Oil and Gas occupied the top position, gaining 10.4%, 4.0% and 3.0% respectively. Only Nifty Auto ended the week in red losing (-) 0.8%, hence settling at the bottom position. ",global macro positive. domestic market resilient. tracking positive global cue indian index closed positive note week nifty 50 nifty midcap 150 nifty small cap 250 gaining 1.0% 2.1% 1.9% respectively. also positive week sectoral indices. sector nifty realty nifty medium nifty oil gas occupied top position gaining 10.4% 4.0% 3.0% respectively. nifty auto ended week red losing 0.8% hence settling bottom position.
05-11-2023,"Global macros a mixed bag. Domestic markets resilient. Most of the broad market indices closed on a positive note this week, with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 1.0%, 2.6% and 2.4% respectively.Sectoral indices displayed mixed performance this week. Out of the indices which closed in green, Nifty Pharma, Nifty Healthcare Index and Nifty Realty occupied the top position, gaining 4.3%, 4.0% and 2.9% respectively. A few indices closed in red out of which Nifty Media, Nifty Consumer Durables and Nifty PSU Banks were the top losers each losing (-) 1.5%, (-) 0.8% and (-) 0.6% respectively. ",global macro mixed bag. domestic market resilient. broad market index closed positive note week nifty 50 nifty midcap 150 nifty small cap 250 closing green gaining 1.0% 2.6% 2.4% respectively.sectoral index displayed mixed performance week. index closed green nifty pharma nifty healthcare index nifty realty occupied top position gaining 4.3% 4.0% 2.9% respectively. index closed red nifty medium nifty consumer durables nifty psu bank top loser losing 1.5% 0.8% 0.6% respectively.
12-11-2023,"Global macros positive. Domestic markets resilient. Most of the broad market indices closed on a positive note this week, with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 1.6%, 2.5% and 3.4% respectively.Sectoral indices displayed mixed performance this week with most of them displaying positive performance. Out of the indices which closed in green, Nifty IT, Nifty Realty and Nifty Auto occupied the top position, gaining 5.1%, 4.6% and 3.8% respectively. Only Nifty Private Bank, Nifty Bank and Nifty Financial Services closed in red losing (-) 0.5%, (-) 0.5% and (-) 0.1% respectively.",global macro positive. domestic market resilient. broad market index closed positive note week nifty 50 nifty midcap 150 nifty small cap 250 closing green gaining 1.6% 2.5% 3.4% respectively.sectoral index displayed mixed performance week displaying positive performance. index closed green nifty nifty realty nifty auto occupied top position gaining 5.1% 4.6% 3.8% respectively. nifty private bank nifty bank nifty financial service closed red losing 0.5% 0.5% 0.1% respectively.
19-11-2023,"Markets end the week on a flat note. Most of the broad market indices closed flat this week, with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 0.3%, 0.6% and 0.1% respectively. Indices failed to find pace amidst mixed global cues. Sectoral indices displayed mixed performance this week with most of them displaying positive performance. Out of the indices which closed in green, Nifty Realty, Nifty Oil & Gas, and Nifty Metal occupied the top position, gaining 1.5%, 1.0% and 1.0% respectively. Only Nifty PSU Bank, Nifty FMCG and Nifty IT closed in red losing (-) 1.7%, (-) 0.3% and (-) 0.4% respectively. ",market end week flat note. broad market index closed flat week nifty 50 nifty midcap 150 nifty small cap 250 closing green gaining 0.3% 0.6% 0.1% respectively. index failed find pace amidst mixed global cues. sectoral index displayed mixed performance week displaying positive performance. index closed green nifty realty nifty oil gas nifty metal occupied top position gaining 1.5% 1.0% 1.0% respectively. nifty psu bank nifty fmcg nifty closed red losing 1.7% 0.3% 0.4% respectively.
26-11-2023,"Global macros a mixed bag. Domestic markets resilient.Most Indian indices closed on a positive note this week with each of the Nifty 50, Nifty Midcap 150, Nifty Small cap 250 closing in green, gaining 2.4%, 2.8% and 2.6% respectively. Nifty 50 hit a record high this week owing to faster than expected economic growth.This was also a positive week for all sectoral indices. While each of the sectoral indices closed in green, Nifty Oil and Gas, Nifty Financial Services and Nifty Media occupied the top position, gaining 4.4%, 3.6% and 3.2% respectively.",global macro mixed bag. domestic market resilient.most indian index closed positive note week nifty 50 nifty midcap 150 nifty small cap 250 closing green gaining 2.4% 2.8% 2.6% respectively. nifty 50 hit record high week owing faster expected economic growth.this also positive week sectoral indices. sectoral index closed green nifty oil gas nifty financial service nifty medium occupied top position gaining 4.4% 3.6% 3.2% respectively.
